id,agency_id,credential_id,platform,platform_customer_id,account_name,is_active,last_sync_at,sync_status,created_at,auto_sync_enabled,last_synced_at,last_sync_status,client_id,use_mcc,platform_api_key,hipaa_compliant
018285e8-88b9-45e9-81ca-4dd3056eef0c,791536a9-5c5e-439d-93c9-6be6808012ec,1ab39d85-668f-4ce1-9d0b-bec111bf1cf9,ga4,527986351,Jay's Power Center Update,TRUE,,pending,2026-03-20 18:23:19.477347+00,FALSE,,,f8deeae8-722a-4844-8182-1d810ed1168c,TRUE,,FALSE
0b3c900e-3905-4215-b563-62c1f91e15d7,791536a9-5c5e-439d-93c9-6be6808012ec,1ab39d85-668f-4ce1-9d0b-bec111bf1cf9,ga4,487129748,Jay's of Mauston,TRUE,,pending,2026-03-20 18:23:19.477347+00,FALSE,,,b984a1f4-f5cb-411f-85b5-6fea28c1800f,TRUE,,FALSE
0d2ba91b-200f-443e-a929-6b955ccc2eaf,791536a9-5c5e-439d-93c9-6be6808012ec,1ab39d85-668f-4ce1-9d0b-bec111bf1cf9,ga4,380202438,Scranton Powersports,TRUE,,pending,2026-03-20 18:23:19.477347+00,FALSE,,,dd06e547-168f-4026-a57d-b23894bced84,TRUE,,FALSE
0d37a59a-79ff-4d71-b3cf-3f08e87ba9f9,791536a9-5c5e-439d-93c9-6be6808012ec,a0b8b120-58f0-4f5b-b312-e5752161ed1c,ga4,323294333,Cunningham Campers & RVs,TRUE,,pending,2026-03-20 18:23:19.477347+00,FALSE,,,14e7b6da-10b3-42f1-b3b9-a3695fbb258d,TRUE,,FALSE
148baa17-569b-4a53-8446-7d40cf80a11b,791536a9-5c5e-439d-93c9-6be6808012ec,1ab39d85-668f-4ce1-9d0b-bec111bf1cf9,ga4,414376903,United Motorsports of Danville,TRUE,,pending,2026-03-20 18:23:19.477347+00,FALSE,,,0f911dd9-939c-46b3-9880-5d2e38cd6e6f,TRUE,,FALSE
14ebb874-92f1-4f22-83b7-d2c9bc706993,791536a9-5c5e-439d-93c9-6be6808012ec,1ab39d85-668f-4ce1-9d0b-bec111bf1cf9,ga4,376216855,Navigant HD - Texoma Harley Davidson,TRUE,,pending,2026-03-20 18:23:19.477347+00,FALSE,,,0fce1f3c-8b3e-4b10-b685-3aaff0a9439a,TRUE,,FALSE
1c9fc96b-76f0-4328-bfa1-2fb35a574e49,791536a9-5c5e-439d-93c9-6be6808012ec,a6ac8288-6d36-4359-80cc-b9c54c0a5cdd,ga4,348927755,Royal RV Center,TRUE,,pending,2026-03-20 18:23:19.477347+00,FALSE,,,f8da0e9d-015c-4d20-9eba-0c4a655390dc,TRUE,,FALSE
223e50ba-e551-4687-8d67-f6a632785027,791536a9-5c5e-439d-93c9-6be6808012ec,1ab39d85-668f-4ce1-9d0b-bec111bf1cf9,ga4,374974564,Tallahassee Harley-Davidson,TRUE,,pending,2026-03-20 18:23:19.477347+00,FALSE,,,,TRUE,,FALSE
255368fd-5c59-4379-8c8c-0bfb13e0d080,791536a9-5c5e-439d-93c9-6be6808012ec,a0b8b120-58f0-4f5b-b312-e5752161ed1c,ga4,321472987,Ricks RV,TRUE,,pending,2026-03-20 18:23:19.477347+00,FALSE,,,b9fa79ec-e227-45ed-8c1a-312e02bec1b0,TRUE,,FALSE
289281c0-1cb7-4683-aad9-efc808e7aa8a,791536a9-5c5e-439d-93c9-6be6808012ec,a0b8b120-58f0-4f5b-b312-e5752161ed1c,ga4,326772646,SouthWest Nissan,TRUE,,pending,2026-03-20 18:23:19.477347+00,FALSE,,,bc00a7bd-6fdd-43ed-9c08-a2ba1bcf9eac,TRUE,,FALSE
